iter	RMSE
0	70200.51837
1	69524.51171
2	68962.60233
3	68389.10091
4	67744.41078
5	67123.9568
6	66602.17908
7	66129.72351
8	65600.68539
9	65092.42409
10	64609.65886
11	64190.02245
12	63732.02011
13	63364.36379
14	63022.63554
15	62591.69357
16	62188.30097
17	61822.75294
18	61467.84975
19	61153.19964
20	60846.9621
21	60542.08943
22	60231.50464
23	59902.29407
24	59567.72679
25	59337.99139
26	59058.05543
27	58773.82965
28	58543.64395
29	58296.79582
30	58039.89815
31	57859.38003
32	57652.28974
33	57415.38707
34	57205.2543
35	57013.44535
36	56824.84495
37	56621.86532
38	56454.00613
39	56308.60584
40	56064.01751
41	55856.61062
42	55737.83986
43	55614.26968
44	55351.14467
45	55201.66014
46	55031.53233
47	54903.82353
48	54752.6289
49	54604.05923
50	54509.6716
51	54351.70283
52	54161.03953
53	54019.71645
54	53848.04304
55	53713.1064
56	53598.1636
57	53480.31012
58	53365.31288
59	53260.10914
60	53145.14322
61	53046.31677
62	52942.83367
63	52826.27244
64	52752.47309
65	52599.14963
66	52499.77411
67	52382.99519
68	52260.28411
69	52131.81787
70	51993.3486
71	51932.9373
72	51807.77393
73	51769.11501
74	51680.82968
75	51580.65666
76	51486.58541
77	51350.94465
78	51280.6101
79	51230.6997
80	51115.05566
81	51012.93803
82	50866.24954
83	50770.88191
84	50655.9823
85	50521.41549
86	50379.15204
87	50340.78232
88	50250.72854
89	50213.66481
90	50133.00719
91	50071.55034
92	49944.63044
93	49873.71422
94	49789.00442
95	49696.7621
96	49615.96276
97	49568.51113
98	49536.48695
99	49428.01553
100	49318.76088
101	49247.78321
102	49183.34181
103	49141.89576
104	49073.86759
105	49000.65223
106	48962.4823
107	48916.25309
108	48819.72126
109	48734.03636
110	48672.25035
111	48647.45362
112	48585.2774
113	48553.11338
114	48503.66547
115	48471.32788
116	48445.89623
117	48408.97497
118	48337.88634
119	48272.58462
120	48229.45563
121	48138.00774
122	48078.54216
123	47981.31562
124	47928.55192
125	47884.97446
126	47797.4074
127	47739.95175
128	47693.31755
129	47615.55252
130	47547.40922
131	47493.91592
132	47453.81349
133	47373.24211
134	47336.33311
135	47282.33926
136	47238.16265
137	47215.09078
138	47130.80171
139	47069.56405
140	47006.0667
141	46991.3987
142	46950.88472
143	46875.3181
144	46805.72441
145	46720.50047
146	46661.23367
147	46581.7252
148	46533.02264
149	46461.38451
150	46432.10368
151	46372.20808
152	46325.18407
153	46259.86175
154	46223.97398
155	46147.49209
156	46097.97997
157	46068.9587
158	45997.58224
159	45935.56213
160	45911.00775
161	45832.49593
162	45824.84989
163	45746.26073
164	45686.58545
165	45674.25359
166	45606.74018
167	45588.39947
168	45544.57879
169	45468.94707
170	45389.79623
171	45334.49664
172	45284.86361
173	45232.59341
174	45168.63583
175	45116.06589
176	45050.68841
177	45015.06011
178	44970.88592
179	44921.57131
180	44908.03284
181	44896.90772
182	44845.80501
183	44792.77979
184	44764.21752
185	44696.15788
186	44635.49081
187	44632.67902
188	44588.80951
189	44553.73736
190	44517.19317
191	44493.22295
192	44458.77629
193	44396.97279
194	44335.81436
195	44281.82053
196	44237.76546
197	44184.27253
198	44126.52033
199	44075.27079
200	44042.28899
201	43996.65741
202	43970.54554
203	43925.54275
204	43876.45621
205	43831.16325
206	43790.88752
207	43754.02905
208	43716.72635
209	43672.02837
210	43626.49169
211	43597.74634
212	43561.13577
213	43540.72888
214	43484.22546
215	43435.98294
216	43414.70649
217	43375.45792
218	43337.52729
219	43310.08374
220	43267.9419
221	43240.63484
222	43191.75628
223	43162.84231
224	43114.60988
225	43071.34391
226	43021.7866
227	42979.70355
228	42937.65217
229	42915.72784
230	42867.11469
231	42820.35568
232	42772.1533
233	42736.58347
234	42713.76383
235	42675.05328
236	42629.30795
237	42598.06793
238	42567.13786
239	42514.94317
240	42485.25882
241	42454.2165
242	42389.08861
243	42347.3589
244	42307.08708
245	42263.61737
246	42227.02218
247	42186.43656
248	42151.37088
249	42147.44972
250	42106.13051
251	42070.61014
252	42041.80653
253	42002.123
254	41954.61812
255	41938.19622
256	41919.12676
257	41903.61236
258	41877.59261
259	41854.4729
260	41804.51802
261	41754.67592
262	41713.57278
263	41683.53379
264	41654.70848
265	41629.47172
266	41612.51677
267	41556.50368
268	41530.49585
269	41499.45266
270	41463.62443
271	41441.52171
272	41411.50586
273	41370.35468
274	41342.42776
275	41309.27308
276	41256.81317
277	41225.86662
278	41192.62122
279	41149.81543
280	41112.11151
281	41069.73089
282	41045.92625
283	41010.45856
284	40974.91621
285	40952.24454
286	40932.35005
287	40898.27873
288	40862.06795
289	40820.31056
290	40790.92576
291	40753.32575
292	40721.4362
293	40681.24154
294	40664.63345
295	40636.87275
296	40605.54018
297	40558.18006
298	40513.47837
299	40496.74292
300	40471.50953
301	40450.29615
302	40420.8442
303	40388.1019
304	40334.85432
305	40300.03578
306	40260.34029
307	40240.21056
308	40197.26091
309	40167.59034
310	40131.78585
311	40101.52634
312	40068.05632
313	40041.45218
314	40011.53073
315	39976.61496
316	39935.48888
317	39912.60949
318	39890.31594
319	39880.23312
320	39855.29779
321	39832.00224
322	39814.08515
323	39782.38836
324	39776.67391
325	39747.93109
326	39711.46138
327	39684.99871
328	39662.62415
329	39623.26094
330	39607.03346
331	39578.75495
332	39553.02776
333	39539.80054
334	39518.31777
335	39487.62232
336	39459.72272
337	39414.8317
338	39388.15366
339	39368.68428
340	39333.99617
341	39318.49298
342	39282.36226
343	39256.82181
344	39231.72652
345	39216.97794
346	39204.97271
347	39163.02013
348	39112.93408
349	39098.73292
350	39074.86501
351	39044.14817
352	39011.08081
353	38979.60163
354	38965.43912
355	38934.69823
356	38911.75862
357	38882.11995
358	38844.97091
359	38810.33596
360	38797.5885
361	38768.86661
362	38746.70591
363	38718.9537
364	38709.44554
365	38682.96575
366	38658.82155
367	38648.57724
368	38612.49573
369	38588.55092
370	38570.50217
371	38541.22048
372	38497.30521
373	38462.21067
374	38434.42769
375	38405.02407
376	38396.29681
377	38379.87582
378	38345.52291
379	38325.80252
380	38295.42317
381	38271.06299
382	38245.323
383	38225.63337
384	38216.14873
385	38196.06477
386	38152.42914
387	38134.12089
388	38117.54301
389	38107.22385
390	38079.04136
391	38045.40505
392	38018.5416
393	37993.21025
394	37971.91082
395	37951.23293
396	37930.53412
397	37900.64766
398	37872.81539
399	37864.83259
400	37849.08665
401	37823.65194
402	37806.43433
403	37796.53395
404	37781.44845
405	37774.79342
406	37758.23675
407	37736.79761
408	37723.27754
409	37698.4445
410	37681.37185
411	37666.75376
412	37641.02055
413	37621.9104
414	37599.56512
415	37568.9681
416	37564.39981
417	37542.46658
418	37532.47982
419	37502.94009
420	37486.16811
421	37466.55648
422	37444.14801
423	37425.80049
424	37405.80214
425	37384.41501
426	37370.0745
427	37358.7598
428	37336.00949
429	37312.53079
430	37293.31692
431	37266.16994
432	37255.13598
433	37226.75652
434	37226.54984
435	37205.97873
436	37177.64385
437	37161.78884
438	37143.25733
439	37128.40217
440	37100.68922
441	37064.30425
442	37057.97205
443	37045.58405
444	37026.1862
445	37014.26284
446	37002.77811
447	36989.16362
448	36973.82773
449	36950.90746
450	36940.48915
451	36921.15699
452	36906.85033
453	36889.21522
454	36875.63305
455	36869.70758
456	36850.93597
457	36843.83199
458	36826.87359
459	36808.99889
460	36794.91693
461	36767.78943
462	36749.87791
463	36734.68435
464	36726.82993
465	36707.43979
466	36697.89556
467	36693.59101
468	36670.54535
469	36646.70988
470	36628.96071
471	36609.2441
472	36597.45785
473	36570.54479
474	36560.03404
475	36537.89203
476	36530.91203
477	36514.80481
478	36509.96204
479	36494.52254
480	36484.79282
481	36475.30947
482	36460.59919
483	36448.77584
484	36439.66198
485	36432.81957
486	36414.78646
487	36403.94722
488	36388.62398
489	36372.07209
490	36358.46386
491	36348.74335
492	36334.33191
493	36330.31464
494	36313.42665
495	36304.33744
496	36302.11724
497	36292.42983
498	36283.91249
499	36268.859
500	36260.18622
501	36245.14113
502	36240.25207
503	36213.11766
504	36196.4535
505	36185.2441
506	36176.56876
507	36166.10485
508	36166.03458
509	36156.57118
510	36144.10076
511	36126.20552
512	36103.69634
513	36088.57382
514	36079.59751
515	36071.98045
516	36056.44861
517	36047.70573
518	36039.43408
519	36028.77595
520	36012.57638
521	36004.53251
522	36000.91201
523	35979.54997
524	35971.63684
525	35958.14161
526	35936.96339
527	35920.12627
528	35899.37187
529	35883.26629
530	35863.29263
531	35854.48128
532	35837.23073
533	35830.14388
534	35814.97448
535	35809.66095
536	35805.11324
537	35794.40402
538	35772.12928
539	35759.07033
540	35732.71546
541	35709.76154
542	35697.46001
543	35682.72516
544	35663.07848
545	35656.19702
546	35641.77052
547	35625.93538
548	35610.07434
549	35600.39561
550	35585.40104
551	35578.95311
552	35573.77856
553	35567.70417
554	35551.76253
555	35545.52654
556	35528.11839
557	35512.38174
558	35506.29749
559	35495.15025
560	35490.97982
561	35476.02251
562	35458.52057
563	35453.10341
564	35447.89806
565	35427.94763
566	35423.75062
567	35416.19235
568	35403.3945
569	35376.83722
570	35364.19871
571	35354.69173
572	35339.75864
573	35321.11842
574	35309.32243
575	35289.82745
576	35272.19055
577	35262.34289
578	35257.09591
579	35249.70141
580	35233.09262
581	35216.35224
582	35191.04996
583	35187.97183
584	35175.45576
585	35173.15177
586	35160.81164
587	35147.63644
588	35137.13703
589	35129.57162
590	35126.62055
591	35111.42076
592	35106.67467
593	35104.7428
594	35101.27726
595	35078.34535
596	35071.12205
597	35068.39084
