iter	Passed	Remaining
0	138	138062
1	140	70086
2	141	47095
3	143	35758
4	145	28965
5	147	24456
6	149	21266
7	151	18783
8	153	16872
9	154	15338
10	156	14098
11	158	13053
12	160	12167
13	162	11414
14	163	10762
15	165	10192
16	166	9648
17	167	9131
18	167	8670
19	168	8255
20	169	7879
21	169	7536
22	170	7223
23	170	6936
24	171	6672
25	171	6429
26	172	6203
27	172	5994
28	173	5798
29	173	5615
30	174	5445
31	174	5280
32	175	5130
33	175	4988
34	176	4855
35	176	4728
36	177	4611
37	177	4497
38	178	4390
39	178	4285
40	179	4189
41	179	4096
42	179	4005
43	180	3921
44	180	3840
45	181	3763
46	181	3689
47	182	3616
48	182	3548
49	183	3483
50	183	3416
51	184	3355
52	184	3297
53	185	3241
54	185	3187
55	186	3135
56	186	3085
57	186	3035
58	187	2988
59	187	2943
60	188	2899
61	188	2855
62	189	2815
63	189	2775
64	190	2734
65	191	2705
66	191	2669
67	192	2634
68	192	2599
69	193	2565
70	193	2533
71	193	2498
72	194	2468
73	194	2435
74	195	2405
75	195	2377
76	196	2349
77	196	2323
78	197	2296
79	197	2270
80	197	2244
81	198	2220
82	198	2196
83	199	2173
84	199	2150
85	200	2128
86	200	2107
87	201	2084
88	201	2063
89	201	2041
90	202	2021
91	202	2001
92	203	1982
93	203	1964
94	204	1946
95	204	1928
96	205	1910
97	205	1893
98	206	1875
99	206	1858
100	207	1842
101	207	1826
102	208	1811
103	208	1794
104	208	1779
105	209	1765
106	209	1749
107	210	1734
108	210	1720
109	210	1706
110	211	1693
111	211	1678
112	212	1665
113	212	1652
114	213	1639
115	213	1626
116	213	1613
117	214	1601
118	214	1589
119	215	1577
120	215	1566
121	216	1555
122	216	1544
123	217	1534
124	217	1525
125	218	1514
126	218	1504
127	219	1494
128	219	1483
129	220	1473
130	220	1463
131	221	1453
132	221	1443
133	221	1434
134	222	1424
135	222	1415
136	223	1406
137	223	1397
138	224	1388
139	224	1380
140	225	1372
141	225	1362
142	226	1354
143	226	1346
144	227	1338
145	227	1331
146	228	1323
147	228	1316
148	229	1309
149	229	1302
150	230	1295
151	230	1288
152	231	1280
153	231	1273
154	232	1266
155	232	1259
156	233	1252
157	233	1245
158	234	1238
159	234	1232
160	235	1225
161	235	1219
162	236	1212
163	236	1206
164	237	1200
165	237	1193
166	238	1187
167	238	1181
168	239	1175
169	239	1169
170	240	1163
171	240	1157
172	240	1151
173	241	1146
174	241	1140
175	242	1135
176	243	1130
177	243	1124
178	244	1119
179	244	1113
180	244	1108
181	245	1102
182	245	1097
183	246	1092
184	246	1087
185	247	1082
186	247	1077
187	248	1071
188	248	1066
189	249	1061
190	249	1056
191	250	1052
192	250	1047
193	251	1042
194	251	1038
195	251	1033
196	252	1029
197	252	1024
198	253	1019
199	253	1015
200	254	1010
201	254	1006
202	255	1002
203	255	997
204	256	993
205	256	989
206	257	985
207	257	980
208	258	976
209	258	972
210	258	968
211	259	964
212	259	960
213	260	956
214	260	952
215	261	948
216	261	944
217	262	940
218	262	936
219	263	932
220	263	929
221	264	925
222	264	921
223	264	917
224	265	914
225	265	910
226	266	907
227	266	903
228	267	899
229	267	896
230	268	892
231	268	889
232	269	885
233	269	882
234	270	878
235	270	875
236	270	872
237	271	868
238	271	865
239	272	862
240	272	859
241	273	856
242	273	852
243	274	849
244	274	846
245	275	843
246	275	840
247	276	837
248	276	834
249	276	830
250	277	827
251	277	824
252	278	821
253	278	818
254	279	815
255	279	812
256	280	810
257	280	807
258	281	804
259	281	801
260	282	798
261	282	795
262	282	792
263	283	790
264	283	787
265	284	784
266	284	781
267	285	779
268	285	776
269	286	773
270	286	771
271	287	768
272	287	765
273	288	763
274	288	760
275	288	758
276	289	755
277	289	753
278	290	750
279	290	748
280	291	745
281	291	743
282	292	740
283	292	738
284	293	735
285	293	733
286	294	730
287	294	728
288	295	725
289	295	723
290	295	721
291	296	718
292	296	716
293	297	714
294	297	711
295	298	709
296	298	707
297	299	704
298	299	702
299	300	700
300	300	698
301	301	695
302	301	693
303	302	691
304	302	689
305	302	687
306	303	685
307	303	682
308	304	680
309	304	678
310	305	676
311	305	674
312	306	672
313	306	670
314	307	667
315	307	665
316	308	663
317	308	661
318	308	659
319	309	657
320	309	655
321	310	653
322	310	651
323	311	649
324	311	647
325	312	645
326	312	643
327	313	641
328	313	639
329	314	637
330	314	635
331	315	634
332	315	632
333	316	630
334	316	628
335	317	627
336	317	625
337	318	623
338	318	621
339	319	620
340	319	618
341	320	616
342	320	614
343	321	612
344	321	610
345	322	609
346	322	607
347	323	605
348	323	603
349	324	602
350	324	600
351	325	598
352	325	597
353	326	595
354	326	593
355	327	592
356	327	590
357	328	588
358	328	587
359	329	585
360	329	583
361	330	582
362	330	580
363	331	578
364	331	577
365	332	575
366	332	573
367	333	572
368	333	570
369	334	568
370	334	567
371	335	565
372	335	564
373	336	562
374	336	561
375	337	559
376	337	558
377	338	556
378	338	555
379	339	553
380	340	552
381	340	550
382	341	549
383	341	547
384	342	546
385	342	544
386	342	543
387	343	541
388	343	540
389	344	538
390	344	537
391	345	535
392	345	534
393	346	532
394	346	530
395	347	529
396	347	527
397	348	526
398	348	524
399	348	523
400	349	521
401	349	520
402	350	518
403	350	517
404	351	516
405	351	514
406	352	513
407	352	511
408	353	510
409	353	508
410	354	507
411	354	505
412	354	504
413	355	503
414	355	501
415	356	500
416	356	498
417	357	497
418	357	496
419	358	494
420	358	493
421	359	491
422	359	490
423	360	489
424	360	487
425	360	486
426	361	485
427	361	483
428	362	482
429	362	481
430	363	479
431	363	478
432	364	477
433	364	475
434	365	474
435	365	472
436	366	471
437	366	470
438	367	469
439	367	467
440	367	466
441	368	465
442	368	463
443	369	462
444	369	461
445	370	460
446	370	458
447	371	457
448	371	456
449	372	454
450	372	453
451	373	452
452	373	451
453	374	449
454	374	448
455	374	447
456	375	446
457	376	444
458	376	443
459	376	442
460	377	441
461	377	439
462	378	438
463	378	437
464	379	436
465	379	435
466	380	433
467	380	432
468	381	431
469	381	430
470	381	429
471	382	427
472	382	426
473	383	425
474	383	424
475	384	423
476	384	421
477	385	420
478	385	419
479	386	418
480	386	417
481	387	416
482	387	414
483	388	413
484	388	412
485	388	411
486	389	410
487	389	409
488	390	407
489	390	406
490	391	405
491	391	404
492	392	403
493	392	402
494	393	401
495	393	399
496	394	398
497	394	397
498	395	396
499	395	395
500	395	394
501	396	393
502	397	392
503	397	391
504	398	390
505	398	389
506	398	387
507	399	386
508	399	385
509	399	384
510	400	383
511	400	382
512	401	381
513	401	379
514	402	378
515	402	377
516	403	376
517	404	376
518	404	375
519	405	374
520	405	373
521	406	372
522	406	371
523	407	370
524	407	369
525	408	367
526	408	366
527	409	365
528	409	364
529	410	363
530	410	362
531	411	361
532	411	360
533	412	359
534	413	359
535	413	358
536	414	357
537	414	356
538	415	355
539	415	354
540	416	353
541	416	352
542	417	351
543	417	350
544	418	349
545	418	348
546	419	347
547	419	346
548	420	345
549	420	344
550	421	343
551	421	342
552	422	341
553	422	340
554	423	339
555	423	338
556	424	337
557	424	336
558	425	335
559	425	334
560	426	333
561	427	332
562	427	331
563	428	330
564	428	329
565	429	328
566	429	328
567	430	327
568	430	326
569	430	325
570	431	324
571	431	323
572	432	322
573	432	321
574	433	320
575	433	319
576	434	318
577	434	317
578	435	316
579	435	315
580	436	314
581	436	313
582	437	312
583	437	311
584	438	310
585	438	310
586	439	309
587	439	308
588	440	307
589	440	306
590	441	305
591	441	304
592	442	303
593	442	302
594	443	301
595	443	300
596	444	299
597	444	298
598	445	297
599	445	296
600	445	296
601	446	295
602	446	294
603	447	293
604	447	292
605	448	291
606	448	290
607	449	289
608	449	288
609	450	287
610	450	286
611	451	286
612	451	285
613	452	284
614	452	283
615	453	282
616	453	281
617	454	280
618	454	279
619	454	278
620	455	277
621	455	277
622	456	276
623	456	275
624	457	274
625	457	273
626	458	272
627	458	271
628	459	270
629	459	270
630	460	269
631	460	268
632	461	267
633	461	266
634	462	265
635	462	264
636	463	263
637	463	263
638	464	262
639	464	261
640	465	260
641	465	259
642	466	258
643	466	257
644	466	257
645	467	256
646	467	255
647	468	254
648	468	253
649	469	252
650	469	251
651	470	251
652	470	250
653	471	249
654	471	248
655	472	247
656	472	246
657	473	245
658	473	245
659	473	244
660	474	243
661	474	242
662	475	241
663	475	240
664	476	239
665	476	239
666	477	238
667	477	237
668	478	236
669	478	235
670	478	234
671	479	234
672	479	233
673	480	232
674	480	231
675	481	230
676	481	229
677	482	229
678	482	228
679	483	227
680	483	226
681	484	225
682	484	224
683	485	224
684	485	223
685	486	222
686	486	221
687	487	220
688	487	220
689	488	219
690	488	218
691	488	217
692	489	216
693	489	216
694	490	215
695	490	214
696	491	213
697	491	212
698	492	212
699	492	211
700	493	210
701	494	209
702	494	208
703	494	208
704	495	207
705	495	206
706	496	205
707	496	204
708	497	204
709	497	203
710	498	202
711	498	201
712	499	200
713	499	200
714	500	199
715	500	198
716	501	197
717	501	197
718	502	196
719	502	195
720	503	194
721	503	193
722	504	193
723	504	192
724	505	191
725	505	190
726	506	190
727	506	189
728	507	188
729	507	187
730	508	186
731	508	186
732	509	185
733	509	184
734	510	183
735	510	183
736	511	182
737	511	181
738	512	180
739	512	180
740	512	179
741	513	178
742	513	177
743	514	177
744	514	176
745	515	175
746	515	174
747	516	173
748	516	173
749	517	172
750	517	171
751	518	170
752	518	170
753	519	169
754	519	168
755	520	167
756	520	167
757	521	166
758	521	165
759	522	164
760	522	164
761	523	163
762	523	162
763	524	161
764	524	161
765	525	160
766	525	159
767	526	158
768	526	158
769	526	157
770	527	156
771	527	155
772	528	155
773	528	154
774	529	153
775	529	152
776	530	152
777	530	151
778	531	150
779	531	150
780	532	149
781	532	148
782	533	147
783	533	147
784	534	146
785	534	145
786	535	144
787	535	144
788	536	143
789	536	142
790	537	141
791	537	141
792	538	140
793	538	139
794	539	139
795	539	138
796	540	137
797	540	136
798	541	136
799	541	135
800	542	134
801	542	133
802	543	133
803	543	132
804	544	131
805	544	131
806	545	130
807	545	129
808	546	128
809	546	128
810	547	127
811	547	126
812	548	126
813	548	125
814	549	124
815	549	123
816	550	123
817	550	122
818	551	121
819	551	121
820	552	120
821	552	119
822	553	118
823	553	118
824	554	117
825	554	116
