iter	RMSE
0	70283.83212
1	69433.65121
2	68601.29087
3	67796.28526
4	66934.58049
5	66180.2481
6	65534.02573
7	64975.45018
8	64372.21633
9	63729.02179
10	63121.79262
11	62538.90153
12	61945.96619
13	61460.59405
14	61003.06329
15	60534.0166
16	60139.65948
17	59779.62754
18	59339.39585
19	58913.81247
20	58495.72583
21	58047.31351
22	57632.23394
23	57217.64417
24	56749.86298
25	56461.62651
26	56148.27778
27	55897.76599
28	55572.79052
29	55386.3286
30	55129.21956
31	54869.82414
32	54559.54554
33	54195.19763
34	53888.25141
35	53600.6406
36	53311.91026
37	53021.09212
38	52748.45412
39	52458.23024
40	52233.82147
41	52060.20296
42	51840.50653
43	51635.72553
44	51466.6057
45	51229.21376
46	50985.16084
47	50746.22218
48	50555.94326
49	50449.75133
50	50159.35169
51	49998.89047
52	49867.70968
53	49685.62848
54	49539.72159
55	49393.44856
56	49287.40394
57	49172.97643
58	49052.7922
59	48942.98783
60	48760.77149
61	48619.23848
62	48549.28721
63	48417.6093
64	48318.94728
65	48210.49289
66	48071.39293
67	47949.10199
68	47829.80932
69	47709.7622
70	47608.8978
71	47539.9007
72	47456.90453
73	47364.3818
74	47282.06186
75	47206.68784
76	47123.64536
77	47004.00509
78	46921.13678
79	46835.43453
80	46775.86106
81	46669.35754
82	46597.93324
83	46506.03726
84	46424.72728
85	46337.60222
86	46192.34933
87	46109.9989
88	46048.39065
89	45974.29218
90	45903.61321
91	45810.04059
92	45740.5324
93	45691.96565
94	45649.82265
95	45581.72793
96	45563.23494
97	45514.4304
98	45473.02824
99	45409.43381
100	45345.47767
101	45281.73724
102	45235.80924
103	45174.52823
104	45125.75794
105	45066.83493
106	45024.39926
107	44953.93242
108	44920.90501
109	44738.7236
110	44662.13425
111	44584.96824
112	44525.03637
113	44480.91481
114	44403.98265
115	44351.81089
116	44253.29364
117	44191.68657
118	44115.1956
119	44062.78905
120	43898.57761
121	43851.98562
122	43779.38886
123	43679.03434
124	43637.23208
125	43596.90774
126	43553.46471
127	43534.94623
128	43465.11263
129	43422.20098
130	43376.33938
131	43338.18669
132	43294.33901
133	43230.83579
134	43158.25355
135	43107.96392
