iter	Passed	Remaining
0	1	1264
1	1	850
2	1	648
3	2	558
4	2	479
5	2	433
6	2	406
7	3	398
8	3	381
9	3	371
10	3	358
11	4	346
12	4	336
13	4	343
14	5	333
15	5	335
16	5	322
17	5	319
18	6	319
19	6	317
20	6	313
21	7	312
22	7	308
23	7	313
24	7	311
25	8	314
26	8	318
27	9	337
28	10	337
29	10	330
30	10	328
31	11	335
32	11	331
33	11	331
34	12	331
35	12	328
36	12	324
37	12	323
38	13	320
39	13	321
40	13	318
41	13	317
42	14	315
43	14	316
44	14	313
45	14	310
46	15	308
47	15	307
48	15	307
49	16	308
50	16	306
51	17	309
52	17	313
53	18	316
54	18	317
55	18	316
56	18	313
57	19	316
58	19	316
59	20	314
60	20	312
61	20	310
62	20	311
63	21	311
64	21	309
65	21	310
66	22	308
67	22	309
68	22	308
69	23	312
70	23	310
71	24	311
72	24	311
73	24	311
74	25	310
75	25	308
76	25	307
77	25	305
78	26	305
79	26	304
80	26	302
81	27	303
82	27	303
83	27	303
84	27	301
85	28	302
86	28	301
87	28	300
88	29	302
89	29	302
90	30	301
91	30	302
92	31	302
93	31	301
94	31	301
95	31	300
96	32	298
97	32	298
98	32	298
99	33	297
100	33	296
101	33	295
102	33	294
103	34	296
104	34	295
105	34	295
106	35	294
107	35	292
108	35	291
109	35	290
110	36	290
111	36	290
112	36	289
113	37	288
114	37	288
115	37	287
116	38	287
117	38	287
118	38	286
119	38	285
120	39	284
121	39	284
122	39	284
123	40	289
124	41	288
125	41	287
126	41	286
127	41	285
128	42	284
129	42	285
130	42	284
131	43	283
132	43	282
133	43	281
134	43	281
135	44	281
136	44	280
137	44	279
138	44	278
139	45	282
140	46	282
141	46	282
142	46	281
143	47	280
144	47	280
145	48	281
146	48	280
147	48	280
148	49	280
149	49	279
150	49	278
151	49	277
152	50	277
153	50	276
154	50	275
155	50	274
156	51	274
157	51	273
158	51	273
159	52	273
160	52	272
161	52	272
162	52	271
163	53	271
164	53	271
165	53	270
166	54	269
167	54	268
168	54	268
169	55	268
170	55	268
171	55	268
172	56	267
173	56	268
174	56	268
175	57	269
176	57	269
177	58	269
178	58	269
179	59	269
180	59	268
181	59	268
182	60	268
183	60	268
184	60	267
185	61	267
186	61	266
187	61	266
188	61	265
189	62	265
190	62	265
191	62	264
192	63	267
193	64	267
194	64	267
195	64	266
196	65	266
197	65	265
198	65	264
199	65	263
200	66	263
201	66	263
202	67	263
203	67	263
204	67	262
205	68	262
206	68	262
207	68	261
208	69	262
209	70	263
210	70	263
211	70	262
212	71	262
213	71	262
214	71	262
215	72	261
216	72	261
217	72	261
218	73	260
219	73	260
220	73	259
221	73	258
222	74	259
223	74	258
224	75	259
225	75	258
226	75	258
227	76	257
228	76	257
229	76	256
230	76	256
231	77	255
232	77	255
233	77	254
234	78	254
235	78	253
236	78	253
237	78	252
238	79	252
239	79	251
240	79	251
241	80	251
242	80	251
